,predicted,actual
0,western,western
1,romance,romance
2,romance,romance
3,horror,horror
4,animation,animation
5,drama,drama
6,horror,sci-fi
7,action,western
8,animation,drama
9,romance,comedy
10,horror,romance
11,action,horror
12,comedy,drama
13,drama,drama
14,action,drama
15,crime,western
16,horror,sci-fi
17,horror,drama
18,horror,drama
19,crime,action
20,comedy,crime
21,crime,comedy
22,drama,drama
23,drama,drama
24,action,action
25,animation,horror
26,western,comedy
27,animation,horror
28,drama,romance
29,horror,action
30,sci-fi,drama
31,action,horror
32,action,action
33,horror,crime
34,action,action
35,horror,horror
36,animation,animation
37,crime,sci-fi
38,drama,drama
39,sci-fi,action
40,action,action
41,horror,horror
42,drama,romance
43,western,western
44,western,drama
45,crime,drama
46,action,drama
47,crime,horror
48,western,comedy
49,romance,romance
50,comedy,crime
51,comedy,horror
52,animation,sci-fi
53,drama,western
54,horror,drama
55,romance,drama
56,drama,drama
57,crime,crime
58,comedy,comedy
59,action,sci-fi
60,action,romance
61,comedy,comedy
62,animation,animation
63,drama,drama
64,horror,drama
65,horror,horror
66,action,comedy
67,comedy,drama
68,comedy,action
69,western,western
70,drama,romance
71,drama,drama
72,romance,action
73,western,western
74,drama,drama
75,drama,romance
76,drama,western
77,drama,action
78,horror,drama
79,drama,crime
80,action,horror
81,comedy,crime
82,western,drama
83,comedy,comedy
84,western,horror
85,horror,horror
86,action,comedy
87,crime,drama
88,romance,horror
89,comedy,horror
90,western,western
91,crime,western
92,crime,crime
93,romance,romance
94,comedy,romance
95,romance,drama
96,western,western
97,western,crime
98,horror,romance
99,horror,drama
100,drama,drama
101,animation,action
102,animation,animation
103,horror,drama
104,horror,horror
105,romance,action
106,comedy,horror
107,horror,horror
108,action,romance
109,animation,animation
110,comedy,comedy
111,action,action
112,horror,western
113,western,action
114,comedy,drama
115,animation,comedy
116,romance,action
117,horror,horror
118,western,crime
119,action,action
120,animation,drama
121,comedy,drama
122,western,romance
123,action,action
124,drama,comedy
125,western,crime
126,horror,drama
127,action,horror
128,horror,drama
129,comedy,action
130,drama,sci-fi
131,drama,drama
132,drama,drama
133,crime,comedy
134,romance,action
135,western,comedy
136,comedy,action
137,action,drama
138,drama,comedy
139,romance,drama
140,action,comedy
141,western,action
142,western,crime
143,action,comedy
144,crime,romance
145,comedy,comedy
146,romance,action
147,horror,horror
148,western,western
149,western,western
150,romance,comedy
151,action,comedy
152,drama,romance
153,drama,animation
154,animation,animation
155,horror,comedy
156,crime,drama
157,romance,drama
158,crime,sci-fi
159,comedy,western
160,action,drama
161,romance,sci-fi
162,drama,drama
163,crime,romance
164,comedy,drama
165,drama,drama
166,horror,drama
167,horror,romance
168,western,western
169,comedy,drama
170,drama,action
171,action,animation
172,horror,action
173,comedy,romance
174,western,drama
175,romance,horror
176,animation,animation
177,comedy,comedy
178,romance,drama
179,western,romance
180,horror,horror
181,western,western
182,animation,horror
183,crime,crime
184,drama,action
185,action,action
186,western,comedy
187,crime,action
188,action,action
189,romance,drama
190,crime,crime
191,action,comedy
192,animation,animation
193,drama,horror
194,action,drama
195,romance,romance
196,drama,western
197,action,action
198,sci-fi,romance
199,drama,drama
200,romance,romance
201,romance,drama
202,romance,comedy
203,drama,drama
204,comedy,horror
205,drama,comedy
206,western,western
207,comedy,drama
208,crime,comedy
209,romance,romance
210,comedy,romance
211,drama,drama
212,action,sci-fi
213,horror,western
214,romance,romance
215,romance,romance
216,comedy,romance
217,western,horror
218,animation,animation
219,western,drama
220,comedy,comedy
221,drama,western
222,action,action
223,western,western
224,western,sci-fi
225,comedy,action
226,western,romance
227,drama,comedy
228,comedy,comedy
229,western,western
230,horror,horror
231,horror,horror
232,drama,drama
233,western,action
234,crime,sci-fi
235,animation,crime
236,comedy,crime
237,romance,romance
238,comedy,drama
239,drama,comedy
240,crime,drama
241,western,action
242,romance,romance
243,drama,horror
244,action,horror
245,horror,horror
246,action,drama
247,romance,drama
248,drama,comedy
249,western,western
250,drama,drama
251,drama,drama
252,western,comedy
253,drama,animation
254,animation,animation
255,romance,comedy
256,romance,drama
257,horror,drama
258,romance,romance
259,action,comedy
260,western,drama
261,action,drama
262,comedy,crime
263,drama,western
264,western,animation
265,western,horror
266,romance,horror
267,horror,drama
268,drama,comedy
269,horror,crime
270,romance,romance
271,drama,drama
272,comedy,comedy
273,action,action
274,comedy,comedy
275,action,drama
276,comedy,comedy
277,romance,action
278,romance,drama
279,western,action
280,horror,western
281,romance,drama
282,western,horror
283,horror,crime
284,horror,animation
285,action,crime
286,horror,western
287,western,western
288,crime,romance
289,western,western
290,drama,sci-fi
291,horror,horror
292,comedy,western
293,crime,comedy
294,romance,crime
